date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-10-07,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,69801,1748,0.027,0.032,0.054,0.145,0.742
2020-10-08,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,70121,1748,0.027,0.032,0.054,0.145,0.742
2020-10-09,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,70730,1748,0.027,0.032,0.054,0.145,0.742
2020-10-10,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,71325,1748,0.027,0.032,0.054,0.145,0.742
2020-10-11,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,71633,1748,0.027,0.032,0.054,0.145,0.742
2020-10-12,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,72048,1748,0.027,0.032,0.054,0.145,0.742
2020-10-13,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,72439,1748,0.027,0.032,0.054,0.145,0.742
2020-10-14,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,72742,1748,0.027,0.032,0.054,0.145,0.742
2020-10-15,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,73154,1748,0.027,0.032,0.054,0.145,0.742
2020-10-16,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,73737,1748,0.027,0.032,0.054,0.145,0.742
2020-10-17,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,74544,1748,0.027,0.032,0.054,0.145,0.742
2020-10-18,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,74950,1748,0.027,0.032,0.054,0.145,0.742
2020-10-19,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,75410,1748,0.027,0.032,0.054,0.145,0.742
2020-10-20,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,75888,1748,0.027,0.032,0.054,0.145,0.742
2020-10-21,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,76244,1748,0.027,0.032,0.054,0.145,0.742
2020-10-22,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,76817,1748,0.027,0.032,0.054,0.145,0.742
2020-10-23,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,77426,1748,0.027,0.032,0.054,0.145,0.742
2020-10-24,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,78162,1748,0.027,0.032,0.054,0.145,0.742
2020-10-25,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,78897,1748,0.027,0.032,0.054,0.145,0.742
2020-10-26,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,79240,1748,0.027,0.032,0.054,0.145,0.742
2020-10-27,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,79782,1748,0.027,0.032,0.054,0.145,0.742
2020-10-28,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,80104,1748,0.027,0.032,0.054,0.145,0.742
2020-10-29,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,80794,1748,0.027,0.032,0.054,0.145,0.742
2020-10-30,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,81684,1748,0.027,0.032,0.054,0.145,0.742
2020-10-31,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,82362,1748,0.027,0.032,0.054,0.145,0.742
2020-11-01,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,82966,1748,0.027,0.032,0.054,0.145,0.742
2020-11-02,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,83419,1748,0.027,0.032,0.054,0.145,0.742
2020-11-03,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,84129,1748,0.027,0.032,0.054,0.145,0.742
2020-11-04,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,84872,1748,0.027,0.032,0.054,0.145,0.742
2020-11-05,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,85641,1748,0.027,0.032,0.054,0.145,0.742
2020-11-06,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,86673,1748,0.027,0.032,0.054,0.145,0.742
2020-11-07,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,88015,1748,0.027,0.032,0.054,0.145,0.742
2020-11-08,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,88673,1748,0.027,0.032,0.054,0.145,0.742
2020-11-09,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,89256,1748,0.027,0.032,0.054,0.145,0.742
2020-11-10,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,90125,1748,0.027,0.032,0.054,0.145,0.742
2020-11-11,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,90885,1748,0.027,0.032,0.054,0.145,0.742
2020-11-12,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,91859,1748,0.027,0.032,0.054,0.145,0.742
2020-11-13,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,93073,1748,0.027,0.032,0.054,0.145,0.742
2020-11-14,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,94640,1748,0.027,0.032,0.054,0.145,0.742
2020-11-15,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,95517,1748,0.027,0.032,0.054,0.145,0.742
2020-11-16,1,Yes,Official,"Nev. Guidance on Directive 024 (June 24, 2020)",32003,96391,1748,0.027,0.032,0.054,0.145,0.742
